Ticker,Samples,Test_Size,Endo_Features,Exo_Features,Endo_F1,Endo_Precision,Endo_Recall,Endo_AUC,Exo_F1,Exo_Precision,Exo_Recall,Exo_AUC,F1_Lift,Exo_Better,DM_Stat,P_Value,Significant
ABUK.CA,3933,786,41,48,0.5294117647058824,0.6070381231671554,0.46938775510204084,0.5706102730947451,0.6087962962962963,0.6217494089834515,0.5963718820861678,0.5730487364027737,0.14994855967078186,True,0.5583094465134703,0.5767922963863383,False
ADIB.CA,4707,941,39,45,0.6320201173512154,0.556047197640118,0.7320388349514563,0.5313277724600027,0.6720116618075802,0.5379229871645275,0.8951456310679612,0.4697319841378367,0.06327574606955327,True,0.3205105855838994,0.7486525420857979,False
AMOC.CA,3599,719,37,44,0.560625814863103,0.5764075067024129,0.5456852791878173,0.5305193283873487,0.6531483457844184,0.56353591160221,0.7766497461928934,0.5268020304568528,0.16503437492243922,True,1.8720704656011093,0.061603148770654315,False
BTFH.CA,2922,584,28,36,0.2594594594594595,0.5393258426966292,0.1708185053380783,0.5191971154410815,0.22777777777777777,0.5189873417721519,0.14590747330960854,0.525921097447823,-0.12210648148148155,False,0.9610189172454972,0.33694105631925986,False
CICH.CA,1518,303,33,41,0.38910505836575876,0.5747126436781609,0.29411764705882354,0.5561698363555948,0.7116279069767442,0.5884615384615385,0.9,0.5615435647943389,0.8288837209302324,True,2.464983488557792,0.014258191439232348,True
CIEB.CA,3804,760,35,42,0.6270627062706271,0.5792682926829268,0.6834532374100719,0.5142556508728876,0.5038759689922481,0.5462184873949579,0.4676258992805755,0.49680488845075543,-0.19645042839657287,False,-3.1664774788269643,0.0016046735050496697,True
CLHO.CA,1790,358,34,44,0.313588850174216,0.5487804878048781,0.21951219512195122,0.4484297784154312,0.43902439024390244,0.5853658536585366,0.35121951219512193,0.476805356288857,0.40000000000000013,True,4.701528479814054,3.694454036917705e-06,True
COMI.CA,4478,895,37,42,0.6062917063870352,0.5888888888888889,0.6247544204322201,0.5278052057778637,0.5373737373737374,0.553014553014553,0.5225933202357563,0.4891308773679978,-0.11367130423734187,False,-0.13870409998266933,0.8897152150463388,False
EAST.CA,4148,829,41,48,0.46545454545454545,0.5485714285714286,0.40421052631578946,0.4647398156407969,0.12844036697247707,0.5,0.07368421052631578,0.4555040142729706,-0.7240538990825688,False,-5.432297847657741,7.317808803364301e-08,True
EFID.CA,1839,367,31,40,0.5588235294117647,0.5158371040723982,0.6096256684491979,0.5366755793226381,0.48663101604278075,0.48663101604278075,0.48663101604278075,0.4956625074272133,-0.1291866028708134,False,-1.1475732208295606,0.2518943513607592,False
